"","actor.followersCount","actor.friendsCount","actor.languages","actor.link","actor.preferredUsername","actor.statusesCount","body","generator.displayName","lat","lon","gnip.klout_score","inReplyTo.link","link","object.actor.displayName","object.actor.followersCount","object.actor.preferredUsername","object.actor.statusesCount","object.twitter_entities.hashtags.text","postedTime","day","hour","min","sec","comboTime","retweetCount","twitter_entities.hashtags.text","twitter_entities.user_mentions.screen_name","verb"
"117330",268,1056,"en","http://www.twitter.com/elliemalim","elliemalim","5350","Holy shit, I would not like to be in New York right now. Big up to you Yankees, yeah? #hurricanesandy","Twitter for iPhone","57.59171318","-3.71710255","40","","http://twitter.com/elliemalim/statuses/263185625002430466","","","","","","2012-10-30T07:48:37.000Z",30,7,48,37,"10-30 07:48","","hurricanesandy","","post"
"7123",168,143,"en","http://www.twitter.com/EKnowAll","EKnowAll","4720","""@Idonttcaare: Eric is about to get unfollowed for all these Hurricane tweets."" @AHurricaneSandy she's talking shit","Twitter for Android","36.8450293","-76.0167259","43","","http://twitter.com/EKnowAll/statuses/261999957383446529","","","","","","2012-10-27T01:17:12.000Z",27,1,17,12,"10-27 01:17","","","Idonttcaare,AHurricaneSandy","post"
"194948",81,119,"en","http://www.twitter.com/austin_mertz","austin_mertz","672","Was this left over from Hurricane Sandy? 
#stormy","Twitter for iPhone","27.70850256","-97.32304827","39","","http://twitter.com/austin_mertz/statuses/264934525925224448","","","","","","2012-11-04T03:38:07.000Z",4,3,38,7,"11-04 03:38","","stormy","","post"
"120373",4892,5336,"en","http://www.twitter.com/rewebcoach","rewebcoach","25371","Good morning. My thoughts and prayers are with those in the NE impacted by #Sandy. (@ Panera Bread) http://t.co/binYYrRT","foursquare","35.84017724","-78.64291549","64","","http://twitter.com/rewebcoach/statuses/263237358730739713","","","","","","2012-10-30T11:14:11.000Z",30,11,14,11,"10-30 11:14","0","Sandy","","post"
"127071",58,72,"en","http://www.twitter.com/juspostbellum","juspostbellum","204","Fort Greene Park casualties. #brooklyn #sandy  @ Fort Greene Park http://t.co/M71ZdqIR","Instagram","40.69118179","-73.97480965","27","","http://twitter.com/juspostbellum/statuses/263289259820187648","","","","","","2012-10-30T14:40:25.000Z",30,14,40,25,"10-30 14:40","","brooklyn,sandy","","post"
"200918",46,114,"en","http://www.twitter.com/d_d_a_a_n_n","d_d_a_a_n_n","320","I wonder if work has power yet? O wait it dosent matter for me lol #Sandy #backtoreallife","Twitter for Android","41.3804309","-73.791808","20","","http://twitter.com/d_d_a_a_n_n/statuses/265423565879394304","","","","","","2012-11-05T12:01:24.000Z",5,12,1,24,"11-05 12:01","","Sandy,backtoreallife","","post"
"163487",43,33,"es","http://www.twitter.com/jaimebailly","jaimebailly","986","@IsaAzarola @pedroj_ramirez no se porque si sandy es un torrente de nuevos aires y frescura.","Twitter for iPhone","43.24370563","-2.93062233","","http://twitter.com/IsaAzarola/statuses/263855678714683392","http://twitter.com/jaimebailly/statuses/263903611862540288","","","","","","2012-11-01T07:21:38.000Z",1,7,21,38,"11-01 07:21","","","IsaAzarola,pedroj_ramirez","post"
"12647",1683,1340,"en","http://www.twitter.com/_iheartmomo","_iheartmomo","41455","The good sis #Sandy came thru for me http://t.co/6Q30cKwO","Twitter for Android","40.74391904","-74.24771154","48","","http://twitter.com/_iheartmomo/statuses/262317893931397120","","","","","","2012-10-27T22:20:34.000Z",27,22,20,34,"10-27 22:20","0","Sandy","","post"
"194450",289,376,"en","http://www.twitter.com/aguttler","aguttler","335","Nice to see the LES back in action. Sandy, your day is done  (Dad, I'm not talking about you. You have many bright an http://t.co/LZyAf6Fs","foursquare","40.720914","-73.99103","51","","http://twitter.com/aguttler/statuses/264906836933754880","","","","","","2012-11-04T01:48:06.000Z",4,1,48,6,"11-04 01:48","0","","","post"
"143596",265,607,"en","http://www.twitter.com/SebastianJunior","SebastianJunior","3559","Obviously, I sit very low on the Sandy Suffering Meter. For that, I'm thankful.","Twitter for Windows Phone","40.91280435","-73.89662703","36","","http://twitter.com/SebastianJunior/statuses/263425258428694528","","","","","","2012-10-30T23:40:50.000Z",30,23,40,50,"10-30 23:40","0","","","post"
"34237",180,162,"en","http://www.twitter.com/Ma_Abood","Ma_Abood","7005","#sandy #hurricane #usa #spain #sad #kuwait #ksa #???????? #norway #madrid #london #love #damscus # @ Hawalli http://t.co/sKyAIkK6","Instagram","29.32716741","48.01898268","31","","http://twitter.com/Ma_Abood/statuses/262710392445337600","","","","","","2012-10-29T00:20:13.000Z",29,0,20,13,"10-29 00:20","","sandy,hurricane","","post"
"135793",202,696,"en","http://www.twitter.com/boydie123","boydie123","6662","Bored. Bired bored. Praise The Lord for the Internet #HurricaneSandy","Twitter for iPhone","40.81777083","-73.95001107","41","","http://twitter.com/boydie123/statuses/263352661804474370","","","","","","2012-10-30T18:52:22.000Z",30,18,52,22,"10-30 18:52","","HurricaneSandy","","post"
"89429",140,285,"en","http://www.twitter.com/queenliz90","queenliz90","1052","Why do I have to study distracted by the hurricane weather #sandy","Twitter for iPhone","44.52784643","-73.17446209","30","","http://twitter.com/queenliz90/statuses/263055024547041280","","","","","","2012-10-29T23:09:39.000Z",29,23,9,39,"10-29 23:09","0","sandy","","post"
"2440",252,178,"en","http://www.twitter.com/kevinsundstrom","kevinsundstrom","9275","Who the hell names a hurricane Sandy","Twitter for iPhone","39.36806553","-74.57211521","45","","http://twitter.com/kevinsundstrom/statuses/261613866423820288","","","","","","2012-10-25T23:43:00.000Z",25,23,43,0,"10-25 23:43","0","","","post"
"111062",59,465,"en","http://www.twitter.com/MMLeGrand","MMLeGrand","4","Even though #hurricanesandy is pounding at my window I'm having a good time. #Blessed","Twitter for iPhone","38.75243093","-76.95403761","","","http://twitter.com/MMLeGrand/statuses/263126735682428928","","","","","","2012-10-30T03:54:37.000Z",30,3,54,37,"10-30 03:54","","hurricanesandy,Blessed","","post"
"154269",130,336,"en","http://www.twitter.com/LizEaly","LizEaly","4060","?@AP: AP Video: A fire, fueled by natural gas, breaks out in NJ shore town that was hit hard by #Sandy: http://t.co/GjIMyS6C? crazy ??","Twitter for iPhone","42.10145869","-75.93329492","41","","http://twitter.com/LizEaly/statuses/263644933838229504","","","","","","2012-10-31T14:13:45.000Z",31,14,13,45,"10-31 14:13","0","Sandy","AP","post"
"56552",314,607,"en","http://www.twitter.com/Chef_Carmine12","Chef_Carmine12","2397","This hurricane is about to be crazy! #HurricaneSandy","Twitter for iPhone","41.74471239","-73.93395013","33","","http://twitter.com/Chef_Carmine12/statuses/262944777333506050","","","","","","2012-10-29T15:51:34.000Z",29,15,51,34,"10-29 15:51","","HurricaneSandy","","post"
"153781",187,145,"pt","http://www.twitter.com/PaulaPaiva6","PaulaPaiva6","2689","Tia lucia me mandou um inbox mandando eu ter cuidado com o sandy...    fofaaa","Twitter for iPhone","48.68836584","-123.4375816","34","","http://twitter.com/PaulaPaiva6/statuses/263632003117748225","","","","","","2012-10-31T13:22:22.000Z",31,13,22,22,"10-31 13:22","","","","post"
"5688",113,115,"en","http://www.twitter.com/_pr3tty_P","_pr3tty_P","8693","Ok  getting real freaked out with hurricane Sandy ??","Twitter for iPhone","41.01624888","-73.65638884","31","","http://twitter.com/_pr3tty_P/statuses/261921302762381312","","","","","","2012-10-26T20:04:39.000Z",26,20,4,39,"10-26 20:04","0","","","post"
"194291",163,275,"es","http://www.twitter.com/TULIOVARELA","","30264","Via : (VIDEO) Impactantes im?genes de la destrucci?n causada por el hurac?n Sandy http://t.co/x5uLmcOr","identica","10.48801","-66.87919","50","","http://twitter.com/TULIOVARELA/statuses/264897642436362241","","","","","","2012-11-04T01:11:34.000Z",4,1,11,34,"11-04 01:11","","","","post"
"124686",70,115,"en","http://www.twitter.com/bricook79","bricook79","757","My heart is so heavy for the homeless people &amp; animals who have nowhere to go, &amp; no refuge, during #Sandy couldn't sleep last night thinking","Twitter for iPhone","44.68031016","-63.60376547","43","","http://twitter.com/bricook79/statuses/263274186544386049","","","","","","2012-10-30T13:40:32.000Z",30,13,40,32,"10-30 13:40","","Sandy","","post"
"9238",51,129,"en","http://www.twitter.com/Medic3248","Medic3248","884","Getting ready for Hurricane Sandy. And by getting ready I mean going to bed. (@ BCTAR Special Operations Division) http://t.co/UF3G4fOu","foursquare","40.92256","-74.01807","24","","http://twitter.com/Medic3248/statuses/262189873295933440","","","","","","2012-10-27T13:51:51.000Z",27,13,51,51,"10-27 13:51","","","","post"
"110628",39,997,"en","http://www.twitter.com/CJMCNEILL88","CJMCNEILL88","291","Goin to sleep..... Maybe #Sandy is a pain in the ass!!!!!!","iOS","42.105685","-75.945221","21","","http://twitter.com/CJMCNEILL88/statuses/263122838209314816","","","","","","2012-10-30T03:39:07.000Z",30,3,39,7,"10-30 03:39","","Sandy","","post"
"7686",268,691,"en","http://www.twitter.com/kashdown","kashdown","981","@wunderground what is the current best guess where sandy will come inland?","Twitter for iPhone","38.88013562","-76.98843757","43","http://twitter.com/wunderground/statuses/262033588957085697","http://twitter.com/kashdown/statuses/262039229297721344","","","","","","2012-10-27T03:53:15.000Z",27,3,53,15,"10-27 03:53","","","wunderground","post"
"42700",77,312,"en","http://www.twitter.com/Don_Mangio","Don_Mangio","4394","Halloween 2012 (@ Frankenstorm Apocalypse - Hurricane Sandy w/ 3206 others) http://t.co/izn8GmWz","foursquare","40.78470082","-73.78692627","20","","http://twitter.com/Don_Mangio/statuses/262777568393064449","","","","","","2012-10-29T04:47:09.000Z",29,4,47,9,"10-29 04:47","","","","post"
"173975",197,381,"en","http://www.twitter.com/real_asitgets21","real_asitgets21","3599","I am very sympathetic to the people who lost their homes and family members from Sandy. But if Im told to LEAVE my home or die- im leaving.","Twitter for Android","33.96169875","-83.38937922","38","","http://twitter.com/real_asitgets21/statuses/264401799111393280","","","","","","2012-11-02T16:21:15.000Z",2,16,21,15,"11-02 16:21","","","","post"
"149629",0,3,"en","http://www.twitter.com/esmaaltuner","esmaaltuner","14","@Jillzarin happy birthday Allly. I am sure you will help out with sandy lovely lady x","Twitter for iPhone","50.62646381","-3.37800678","","http://twitter.com/Jillzarin/statuses/263471383974117376","http://twitter.com/esmaaltuner/statuses/263523959671238656","","","","","","2012-10-31T06:13:02.000Z",31,6,13,2,"10-31 06:13","","","Jillzarin","post"
"90613",216,188,"en","http://www.twitter.com/lovelyliliy_","lovelyliliy_","17012","?@TheSomeGuyShow: ""I really hope the storm doesn't damage the really really really nice houses.""

-Romney on Hurricane Sandy? ????","Twitter for iPhone","34.26795","-118.4084192","47","","http://twitter.com/lovelyliliy_/statuses/263058046417256451","","","","","","2012-10-29T23:21:40.000Z",29,23,21,40,"10-29 23:21","","","TheSomeGuyShow","post"
"67611",26,103,"en","http://www.twitter.com/hvuconsiderd","hvuconsiderd","446","This just in: Michael's is out of plastic flowers. I saw it with my own eyes. #sandy #survival","Twitter for iPhone","40.81165897","-77.90430523","25","","http://twitter.com/hvuconsiderd/statuses/262989481907453952","","","","","","2012-10-29T18:49:13.000Z",29,18,49,13,"10-29 18:49","0","sandy,survival","","post"
"7131",236,1761,"en","http://www.twitter.com/bigdaddyff16","","7071","Getting ready for ""SANDY"" (@ Independent Fire Company) [pic]: http://t.co/LR4LMUKn","Twitter for Android","40.0953283","-75.1278019","39","","http://twitter.com/bigdaddyff16/statuses/262000490320105472","","","","","","2012-10-27T01:19:19.000Z",27,1,19,19,"10-27 01:19","","","","post"
"6588",1498,2002,"en","http://www.twitter.com/Buffyandrews","Buffyandrews","9308","No cases of water on store shelves.  #yorkstorm #sandy","Twitter for Android","39.97943775","-76.76175107","58","","http://twitter.com/Buffyandrews/statuses/261966271019638784","","","","","","2012-10-26T23:03:20.000Z",26,23,3,20,"10-26 23:03","0","yorkstorm,sandy","","post"
"199532",89,32,"en","http://www.twitter.com/KPOPER_GGYoona","KPOPER_GGYoona","352","#20SongsThatILike NU'EST- Sandy","Twitter for Android","50.9624525","-114.0849539","33","","http://twitter.com/KPOPER_GGYoona/statuses/265266523004870656","","","","","","2012-11-05T01:37:22.000Z",5,1,37,22,"11-05 01:37","","20SongsThatILike","","post"
"93894",165,511,"en","http://www.twitter.com/karlcordes","karlcordes","734","Praying for #nyc and the entire east coast. #posttropicalcyclonesandy. http://t.co/6oeNbk1F","Twitter for iPhone","41.72576994","-88.15383415","54","","http://twitter.com/karlcordes/statuses/263066782988910592","","","","","","2012-10-29T23:56:23.000Z",29,23,56,23,"10-29 23:56","0","nyc,posttropicalcyclonesandy","","post"
"62979",185,366,"en","http://www.twitter.com/RaijaPapaya","RaijaPapaya","5176","Hot Rod is on soooo...we good. #Sandy #DC","Twitter for iPhone","38.90194733","-77.02319286","42","","http://twitter.com/RaijaPapaya/statuses/262969506161360897","","","","","","2012-10-29T17:29:50.000Z",29,17,29,50,"10-29 17:29","0","Sandy,DC","","post"
"130973",333,182,"en","http://www.twitter.com/briannnaa_lynnn","briannnaa_lynnn","19637","@jshapley13 wooo! Getting a shirt that says I survived hurricane sandy","Twitter for iPhone","39.83890798","-75.11457276","36","http://twitter.com/jshapley13/statuses/263314569026473984","http://twitter.com/briannnaa_lynnn/statuses/263314698299129857","","","","","","2012-10-30T16:21:30.000Z",30,16,21,30,"10-30 16:21","","","jshapley13","post"
"157799",286,172,"en","http://www.twitter.com/phojoknight","phojoknight","575","House moved off its foundation from #sandy storm surge. @pennlive @patriotnews @ Sea Isle Bay http://t.co/K0kcmNhi","Instagram","39.14468413","-74.70365083","47","","http://twitter.com/phojoknight/statuses/263719927066800128","","","","","","2012-10-31T19:11:44.000Z",31,19,11,44,"10-31 19:11","0","sandy","pennlive,PatriotNews","post"
"100007",23,53,"en","http://www.twitter.com/da_trucho","da_trucho","168","#HurricaneSandy ....I'm ready for u!!!! http://t.co/td6o3cU7","Twitter for BlackBerry?","43.73116","-79.76029","21","","http://twitter.com/da_trucho/statuses/263082824918261760","","","","","","2012-10-30T01:00:08.000Z",30,1,0,8,"10-30 01:00","","HurricaneSandy","","post"
"12896",1,0,"en","http://www.twitter.com/ilinatknu","ilinatknu","25","#SATstudyTime : GOODNESS? We really wish our son found that before http://t.co/nocrJ5Rl ya better get this ?#Sandy qrx","dlvr.it","33.11156724","-81.11591743","","","http://twitter.com/ilinatknu/statuses/262324688825511936","","","","","","2012-10-27T22:47:34.000Z",27,22,47,34,"10-27 22:47","","SATstudyTime,Sandy","","post"
"104676",404,1967,"en","http://www.twitter.com/NickyDilly","NickyDilly","2770","@ABC17News: #BREAKING: FEMA deploys MO Task Force 1 to the East Coast for #Sandy. The crew of 80 has four hours to get on the road.""","Twitter for Android","38.9738293","-92.4246965","41","","http://twitter.com/NickyDilly/statuses/263103538744397824","","","","","","2012-10-30T02:22:26.000Z",30,2,22,26,"10-30 02:22","","BREAKING,Sandy","ABC17News","post"
"30606",122,336,"en","http://www.twitter.com/RamsayJalal","RamsayJalal","9955","Toffee Nut Latte and Pumpkin Scone #always_time_for_starbucks #hurricanesandy","Twitter for BlackBerry?","42.35352","-71.06407","42","","http://twitter.com/RamsayJalal/statuses/262683744765374465","","","","","","2012-10-28T22:34:19.000Z",28,22,34,19,"10-28 22:34","0","always_time_for_starbucks,hurricanesandy","","post"
"26969",286,285,"en","http://www.twitter.com/ChefEvaBBQs","ChefEvaBBQs","981","@meltbakery how late will you b open to day? Think we need to stock up a storm surplus! #sandy","Twitter for iPhone","40.71269047","-73.97865003","41","http://twitter.com/meltbakery/statuses/262651861784481792","http://twitter.com/ChefEvaBBQs/statuses/262658151311093761","","","","","","2012-10-28T20:52:37.000Z",28,20,52,37,"10-28 20:52","","sandy","meltbakery","post"
"67395",56,81,"en","http://www.twitter.com/ThomasCocuzzo","ThomasCocuzzo","638","I'm good for Sandy. I just ordered food, wrap in a blanket, have some ??!! Being it on Sandy!","Twitter for iPhone","42.44562544","-71.07086711","28","","http://twitter.com/ThomasCocuzzo/statuses/262988693244100610","","","","","","2012-10-29T18:46:05.000Z",29,18,46,5,"10-29 18:46","","","","post"
"56340",296,262,"en","http://www.twitter.com/RNS_CEO","RNS_CEO","21410","?@HurricaneiSandy: DIS BITCH WAS LIKE ""I'M DYING AT HURRICANE SANDY TWEETS"" AND I'M LIKE YOU ABOUT TO BE DYIN IN REAL LIFE HOE.?&lt;&lt;Fuck You","Twitter for iPhone","29.74592193","-95.79589789","35","","http://twitter.com/RNS_CEO/statuses/262943862694223872","","","","","","2012-10-29T15:47:56.000Z",29,15,47,56,"10-29 15:47","","","HurricaneiSandy","post"
"64031",490,493,"en","http://www.twitter.com/Younq_Reck","Younq_Reck","2149","@FuckUrFeelingsz Hah Pelamela .. Ay pinche mariJuanO ????????????lol I know just how to spend my day with sandy ??????","Twitter for iPhone","39.73379763","-75.6122125","33","http://twitter.com/FuckUrFeelingsz/statuses/262972824824725505","http://twitter.com/Younq_Reck/statuses/262975555471802369","","","","","","2012-10-29T17:53:52.000Z",29,17,53,52,"10-29 17:53","","","FuckUrFeelingsz","post"
"172387",2010,2209,"en","http://www.twitter.com/JENSANITY2211","JENSANITY2211","173451","@HForest81 #ff good morning Howard .... How is your family you faring with sandy ... How's your uncle Scott","Twitter for iPhone","45.44112842","-122.8040664","47","http://twitter.com/HForest81/statuses/264329674077900800","http://twitter.com/JENSANITY2211/statuses/264330169563615232","","","","","","2012-11-02T11:36:38.000Z",2,11,36,38,"11-02 11:36","","ff","HForest81","post"
"115664",28,89,"en","http://www.twitter.com/JahLani","JahLani","722","#Sandy trick now you done fd up now messing wit the postal service... Smfh wat the mailman  @ @ my new place http://t.co/a9Y2Neqz","Instagram","40.35376358","-75.91597748","24","","http://twitter.com/JahLani/statuses/263160626191421440","","","","","","2012-10-30T06:09:17.000Z",30,6,9,17,"10-30 06:09","","Sandy","","post"
"180577",133,926,"en","http://www.twitter.com/DaniSeitzJones","DaniSeitzJones","1009","Check these out! Wow #HurricaneSandy 
 Superstorm Sandy - Photographs by Andrew Burton http://t.co/YLdqkqpZ","Twitter for iPhone","42.32356061","-85.6253403","33","","http://twitter.com/DaniSeitzJones/statuses/264541454318305281","","","","","","2012-11-03T01:36:12.000Z",3,1,36,12,"11-03 01:36","0","HurricaneSandy","","post"
"129994",179,240,"en","http://www.twitter.com/duane_vasquez","duane_vasquez","13969","Live a little. Be a gypsy named Sandy. Get around. Pick your feet up off the ground. Live a little. Be a gypsy named Sandy. Get around","Twitter for Android","39.50224893","-77.95146861","45","","http://twitter.com/duane_vasquez/statuses/263307855925497856","","","","","","2012-10-30T15:54:19.000Z",30,15,54,19,"10-30 15:54","0","","","post"
"152158",19417,1366,"en","http://www.twitter.com/kiranchetrytv","kiranchetrytv","3504","""@NYGovCuomo: Downtown #manhattan hit very hard - pic of Whitehall subway station, Plaza shops #sandy mtainsider http://t.co/vLp3v85s""","Mobile Web","40.91262249","-73.78181881","59","","http://twitter.com/kiranchetrytv/statuses/263590363124625408","","","","","","2012-10-31T10:36:54.000Z",31,10,36,54,"10-31 10:36","0","manhattan,sandy","NYGovCuomo","post"
"104337",126,227,"en","http://www.twitter.com/gretchenrose","","749","Transformer just blew in Cherrydale. Goodnight. #Sandy","Twitter for Android","38.89775441","-77.11198955","41","","http://twitter.com/gretchenrose/statuses/263098908551544832","","","","","","2012-10-30T02:04:02.000Z",30,2,4,2,"10-30 02:04","0","Sandy","","post"
"173348",38,28,"en","http://www.twitter.com/Nmarchetta","Nmarchetta","662","Survivor #sandy lives to fish again. See ya next year. http://t.co/Nyc9gbnL","Camera on iOS","39.309538","-74.589321","","","http://twitter.com/Nmarchetta/statuses/264376859586854913","","","","","","2012-11-02T14:42:10.000Z",2,14,42,10,"11-02 14:42","","sandy","","post"
"157256",453,179,"en","http://www.twitter.com/Andersonkid531","Andersonkid531","15686","@smithtina6409 that wasn't sandy! I walked by and kick it over!","Twitter for iPhone","38.7979019","-76.52974541","37","http://twitter.com/smithtina6409/statuses/263706292646985728","http://twitter.com/Andersonkid531/statuses/263707036087357440","","","","","","2012-10-31T18:20:31.000Z",31,18,20,31,"10-31 18:20","","","smithtina6409","post"
"172577",350,500,"en","http://www.twitter.com/WadeFultonDean","WadeFultonDean","9826","Dozens of corporations and companies pour sponsorship dollars into the marathon. How about use that money to build communities?! #Sandy","Twitter for iPhone","29.95226288","-90.06901958","51","","http://twitter.com/WadeFultonDean/statuses/264339678734467072","","","","","","2012-11-02T12:14:25.000Z",2,12,14,25,"11-02 12:14","0","Sandy","","post"
"113767",294,118,"en","http://www.twitter.com/drspearz","drspearz","2541","#Sandy better not destroy #NewYorkCity !!! I am trying to go back to a bustling city not a busted city!","Twitter for iPhone","37.42575228","-122.1796329","43","","http://twitter.com/drspearz/statuses/263142663094681602","","","","","","2012-10-30T04:57:54.000Z",30,4,57,54,"10-30 04:57","","Sandy,NewYorkCity","","post"
"59780",1622,362,"en","http://www.twitter.com/LifeAsARedneck","LifeAsARedneck","10676","A laptop blew into the water so now A Dell is Rolling in The Deep #HurricaneSandy","Twitter for Android","41.43763637","-71.98093925","43","","http://twitter.com/LifeAsARedneck/statuses/262957818657783809","","","","","","2012-10-29T16:43:24.000Z",29,16,43,24,"10-29 16:43","0","HurricaneSandy","","post"
"63135",65,258,"en","http://www.twitter.com/just_teevo","just_teevo","563","And for lunch... Subway sub and DD donuts. #fatness #HurricaneSandy","Twitter for iPhone","40.31244995","-74.11008895","17","","http://twitter.com/just_teevo/statuses/262972189341528064","","","","","","2012-10-29T17:40:30.000Z",29,17,40,30,"10-29 17:40","","fatness,HurricaneSandy","","post"
"41192",782,737,"en","http://www.twitter.com/Themspriss79","Themspriss79","42345","When a Blizzard Meets a Hurricane #Epic #Sandy #ThePerfectStorm","Twitter for Android","38.7794635","-90.3583558","45","","http://twitter.com/Themspriss79/statuses/262762132439973890","","","","","","2012-10-29T03:45:48.000Z",29,3,45,48,"10-29 03:45","0","Epic,Sandy","","post"
"83239",31,172,"en","http://www.twitter.com/xhaleybean","xhaleybean","618","Bearing the elements to go to my car. Lets go, Sandy ?? #fashionableterrorist http://t.co/HoF3xrvP","Twitter for iPhone","40.59903506","-74.90823788","18","","http://twitter.com/xhaleybean/statuses/263039104118321153","","","","","","2012-10-29T22:06:24.000Z",29,22,6,24,"10-29 22:06","","fashionableterrorist","","post"
"100432",31954,903,"en","http://www.twitter.com/QuannyJetLife","QuannyJetLife","63750","This what ya'll wanted hurricane sandy right ? now ya'll mf's sick ishell ya'll don't have no power .","Twitter for Android","40.2129785","-74.6474976","63","","http://twitter.com/QuannyJetLife/statuses/263083887633235968","","","","","","2012-10-30T01:04:21.000Z",30,1,4,21,"10-30 01:04","0","","","post"
"132586",955,387,"en","http://www.twitter.com/__KissMyKITTY","__KissMyKITTY","45585","Sandy hit NY bad I hope my family alright can't contact none of them accept my cousin","Twitter for iPhone","38.87607901","-76.88763883","46","","http://twitter.com/__KissMyKITTY/statuses/263326442975264768","","","","","","2012-10-30T17:08:11.000Z",30,17,8,11,"10-30 17:08","0","","","post"
"189889",21,140,"en","http://www.twitter.com/jackpotstern","jackpotstern","56","#closedforbuiness #justkidding #Bloomberg #nowinsituation #sandy #nyc #nycmara @ NYC Marathon Mile Market 12 http://t.co/pOdqmkwd","Instagram","40.728797","-73.953717","13","","http://twitter.com/jackpotstern/statuses/264698462682112000","","","","","","2012-11-03T12:00:06.000Z",3,12,0,6,"11-03 12:00","","closedforbuiness,justkidding","","post"
"1563",106,209,"en","http://www.twitter.com/ohheymelissaa","ohheymelissaa","5791","I hate dreary days like today. Thanks, Hurricane Sandy. ??","Twitter for iPhone","29.19730306","-81.05026177","35","","http://twitter.com/ohheymelissaa/statuses/261522659597234176","","","","","","2012-10-25T17:40:35.000Z",25,17,40,35,"10-25 17:40","","","","post"
"21255",184,363,"en","http://www.twitter.com/RaijaPapaya","RaijaPapaya","5170","Sandy is just too ratchet, wants to blow everything...","Twitter for iPhone","38.89109228","-77.0364722","42","","http://twitter.com/RaijaPapaya/statuses/262606046646902785","","","","","","2012-10-28T17:25:35.000Z",28,17,25,35,"10-28 17:25","0","","","post"
"81490",52,78,"en","http://www.twitter.com/anisa_hodzic","anisa_hodzic","423","My mom is cleaning the house while Sandy is blowin the shit outta everybody","Twitter for Android","40.75757146","-73.96604419","25","","http://twitter.com/anisa_hodzic/statuses/263034197428547584","","","","","","2012-10-29T21:46:54.000Z",29,21,46,54,"10-29 21:46","","","","post"
"74188",117,101,"en","http://www.twitter.com/tiagoswoons","tiagoswoons","512","When can we not go about every day life because of sandy?","Twitter for iPhone","37.54554209","-77.45150912","38","","http://twitter.com/tiagoswoons/statuses/263011379064221697","","","","","","2012-10-29T20:16:13.000Z",29,20,16,13,"10-29 20:16","","","","post"
"2397",817,518,"pt","http://www.twitter.com/_nelsoncezar","_nelsoncezar","87344","@jufurtado9 @erikapl Furac?o Sandy n?? Depois do anal chamam essa menina at? de furac?o.","Twitter for iPhone","-30.0884781","-51.21606498","49","http://twitter.com/jufurtado9/statuses/261609503370391553","http://twitter.com/_nelsoncezar/statuses/261609825476169728","","","","","","2012-10-25T23:26:57.000Z",25,23,26,57,"10-25 23:26","","","jufurtado9,erikapl","post"
"132968",188,514,"pt","http://www.twitter.com/liviapinheiro_S","liviapinheiro_S","12854","Mano.. que caia o mundo de chuva hj... s? n?o quero que o sandy venha me ver.. ele pode ficar por ny mesmo.. eu deixo hahahaha","Twitter for Android","-23.64755083","-46.56612318","38","","http://twitter.com/liviapinheiro_S/statuses/263329405814861824","","","","","","2012-10-30T17:19:57.000Z",30,17,19,57,"10-30 17:19","","","","post"
"161851",67,103,"en","http://www.twitter.com/ashlar36","ashlar36","6537","@MonstersInMyBed ...but central #NC didn't suffer any damage from #Sandy. Coastal areas dealing with erosion ...","Twitter for iPhone","35.38690684","-77.94383585","34","http://twitter.com/MonstersInMyBed/statuses/263820569336766464","http://twitter.com/ashlar36/statuses/263821507661291525","","","","","","2012-11-01T01:55:23.000Z",1,1,55,23,"11-01 01:55","","NC,Sandy","MonstersInMyBed","post"
"76644",40,101,"en","http://www.twitter.com/LBarcebal","LBarcebal","335","#Sandy drove the common folk to raid the #banana stand except for one. @ Star Market http://t.co/Bm2WnsfN","Instagram","42.35224405","-71.12342633","28","","http://twitter.com/LBarcebal/statuses/263019314192478208","","","","","","2012-10-29T20:47:45.000Z",29,20,47,45,"10-29 20:47","","Sandy,banana","","post"
"44072",58,188,"en","http://www.twitter.com/SamanVestal","SamanVestal","424","Here's to you, Sandy. (@ Barcade) http://t.co/LH0LHTQB","foursquare","40.7120462","-73.9511408","30","","http://twitter.com/SamanVestal/statuses/262806315104088065","","","","","","2012-10-29T06:41:22.000Z",29,6,41,22,"10-29 06:41","0","","","post"
"12064",376,292,"en","http://www.twitter.com/taylorbrenize","taylorbrenize","8578","WAL*MART is out of water! #panicnow #HurricaneSandy http://t.co/jQ28HWAc","Photos on iOS","40.083635","-75.39859","","","http://twitter.com/taylorbrenize/statuses/262292166020313088","","","","","","2012-10-27T20:38:20.000Z",27,20,38,20,"10-27 20:38","0","panicnow,HurricaneSandy","","post"
"174330",681,337,"en","http://www.twitter.com/dgilford","dgilford","1539","Takahachi at Murray &amp; Church serving coffee &amp; food on street. #resilience #nyc #sandy @ Takahachi Bakery http://t.co/F66C3A9y","Instagram","40.71377095","-74.00882448","60","","http://twitter.com/dgilford/statuses/264416026970693633","","","","","","2012-11-02T17:17:48.000Z",2,17,17,48,"11-02 17:17","0","resilience,nyc","","post"
"43575",4084,329,"tr","http://www.twitter.com/TuncAyQuliyev","TuncAyQuliyev","20459","#sandy zad bilmirem, gerek eve corey alardiq, indi de acindan olmezdim ! #biypapaginbatsinabbas !","Twitter for iPhone","40.58538148","-73.93293842","42","","http://twitter.com/TuncAyQuliyev/statuses/262792728348332032","","","","","","2012-10-29T05:47:23.000Z",29,5,47,23,"10-29 05:47","","sandy,biypapaginbatsinabbas","","post"
